report_number,driver_at_fault,speed_limit,vehicle_year
MCP2059005T,No,25,2010
MCP2726003M,Yes,30,2007
MCP2726003M,No,30,2008
MCP3173000M,No,55,2016
MCP3173000M,Yes,55,2014
MCP2639007F,Yes,25,2017
MCP2639007F,No,35,2012
MCP28770070,Yes,10,2010
MCP1366009G,Yes,30,2013
MCP158000BM,Yes,40,2012
MCP158000BM,No,40,2011
MCP158000BM,No,40,2018
MCP1564003R,Yes,40,2016
MCP1564003R,No,40,2016
MCP2832004Y,Yes,30,2019
MCP2832004Y,No,30,2005
MCP0672000P,Yes,45,2009
MCP0672000P,No,35,2007
MCP2967003T,Yes,40,2011
MCP2967003T,No,40,2014
MCP3181000N,Yes,35,2013
MCP3181000N,No,35,2016
MCP1438008M,No,40,2012
MCP1438008M,Yes,40,2008
MCP2617007M,No,30,2000
MCP2617007M,Yes,30,2015
MCP2617007M,No,30,2014
MCP2617007M,No,30,2015
MCP3091001V,Yes,30,2005
MCP3091001V,No,35,2019
DD5624002R,Yes,10,2008
MCP2941003H,Yes,35,2010
DD5601004V,No,40,2015
DD5601004V,Yes,40,2017
EJ7870001L,Yes,25,2012
EJ7870001L,No,35,2019
DD56380003,Yes,15,0
MCP2617007L,Yes,35,2009
MCP2291003Q,Yes,25,2019
MCP29540071,Yes,30,2015
MCP29540071,No,30,2013
MCP31050023,Yes,40,2016
MCP31050023,No,40,2007
DD56380002,Yes,45,2019
DD56380002,No,45,2005
EJ78730018,Yes,35,2019
EJ78730018,No,35,2005
DD55020053,No,25,2015
DD55020053,Yes,25,2008
MCP2969006L,Yes,45,2011
MCP2969006L,No,45,2005
MCP2969006L,No,45,1996
MCP1182002J,No,35,2018
MCP1182002J,Yes,35,2000
MCP94280027,Yes,35,2015
MCP137800R1,Yes,10,2011
EJ78560073,Yes,15,0
MCP3165001B,Yes,30,2014
MCP1379005G,No,5,2014
MCP1379005G,Yes,5,2011
MCP9379002F,No,40,2012
MCP9379002F,Yes,40,2017
MCP9379002F,No,40,2017
MCP9386006Y,Yes,15,2005
MCP20870033,Unknown,25,2015
MCP20870033,Unknown,25,2014
MCP1366009F,No,40,2019
MCP1366009F,Yes,40,2013
MCP23110069,Yes,35,2014
MCP23110069,No,35,2006
MCP09420024,No,25,2017
MCP09420024,Yes,25,2007
MCP1020004D,Yes,40,2004
MCP28290061,Yes,15,2019
MCP003600B5,Yes,30,2018
MCP003600B6,Unknown,0,2013
MCP24610009,Yes,35,2009
MCP24610009,No,35,2006
MCP23940037,Yes,40,2011
MCP23940037,No,25,2011
MCP2635005K,Yes,30,2014
MCP2635005K,No,30,2016
MCP29540070,Yes,30,1994
MCP271700P0,No,35,2006
MCP271700P0,Yes,35,2012
MCP3073003P,Yes,45,2007
MCP3073003P,No,45,2018
EJ7805000R,Yes,35,2003
EJ7805000R,No,35,2015
MCP2366000C,No,35,2013
MCP2366000C,Yes,25,2008
MCP12910022,Unknown,30,2013
MCP12910022,Unknown,30,2017
MCP271700NZ,No,25,2009
MCP271700NZ,Yes,25,2008
MCP137800R0,Yes,45,2018
MCP137800R0,No,45,2018
MCP271700NY,No,25,2005
MCP271700NY,No,30,2008
MCP271700NY,Yes,30,2007
MCP3089002K,Yes,20,2008
MCP3089002K,No,20,2015
MCP1393001Z,No,35,2010
MCP1393001Z,Yes,35,2009
MCP2635005J,No,40,2001
MCP2635005J,Yes,40,2013
MCP3085001L,No,25,2017
MCP3085001L,Yes,25,2016
DD5624002Q,Yes,10,2015
MCP9317000K,No,30,2014
MCP9317000K,No,30,2012
MCP9317000K,Yes,30,2016
MCP29840014,Yes,45,2006
MCP29840014,No,45,2010
MCP2445000N,Yes,45,2014
MCP2445000N,No,45,2007
MCP93210030,Yes,35,2007
MCP93210030,No,35,2019
MCP93210030,No,35,2017
MCP2977005Z,No,0,2003
MCP2977005Z,Yes,40,2011
MCP29840013,Yes,35,2018
MCP29840013,No,35,2018
MCP242500F3,Yes,50,2001
MCP242500F3,No,50,2018
MCP137800QZ,Yes,35,2017
MCP137800QZ,No,35,2014
MCP137800QZ,No,35,2017
DM8453001T,Yes,25,2006
DM8453001T,No,25,2013
MCP2191002Z,No,35,1997
MCP2191002Z,Yes,35,2013
MCP2182001T,Yes,10,2004
MCP09360034,Yes,30,2007
MCP09360034,No,30,2019
MCP91130052,No,45,2012
MCP91130052,Yes,45,1998
MCP209400F4,Yes,35,2014
MCP209400F4,No,35,2019
MCP23530075,No,15,2002
MCP23530075,No,45,2012
MCP23530075,No,15,2012
MCP23530075,Yes,45,2010
MCP2969006K,Yes,30,2009
MCP2969006K,No,30,2007
MCP1151009N,No,40,2017
MCP1151009N,No,40,2006
MCP9442001V,Yes,20,2016
MCP1151009N,Yes,40,2007
MCP9442001V,No,20,2016
MCP2055002S,Yes,45,2008
MCP2055002S,No,45,2007
MCP23960039,Yes,35,2005
MCP23960039,No,35,2006
EJ78460043,Yes,45,2007
EJ78460043,No,45,2009
MCP3012004R,Yes,25,2012
MCP3012004R,No,25,2005
MCP1152000S,Yes,35,2001
MCP30080020,No,35,2015
MCP30080020,Yes,35,2005
MCP9439000N,Yes,40,2012
MCP2776002Y,Yes,30,2019
MCP2776002Y,No,30,2007
MCP2412000Y,Yes,35,2017
MCP2412000Y,No,35,2014
MCP27500043,Yes,15,2011
MCP3060002G,No,40,2017
MCP3060002G,Yes,35,2017
DD56350011,Yes,35,2011
DD56350011,No,35,2019
MCP2569001C,Yes,25,2013
MCP2569001C,No,25,1995
MCP15680011,No,50,2005
MCP15680011,Yes,50,2012
MCP3125001K,No,25,2015
MCP2607004D,Yes,25,2013
MCP2607004D,No,25,2011
MCP3187000L,No,30,2017
MCP3187000L,Yes,30,2010
MCP2546002P,No,40,2015
MCP2546002P,Yes,40,2016
MCP3178000V,Yes,35,2016
DD56280025,Yes,0,2018
MCP29620041,No,0,2017
MCP29620041,Yes,0,2010
MCP09360033,Yes,35,2014
MCP09360033,No,35,2010
MCP1490000S,No,40,2019
MCP1490000S,Yes,40,2015
MCP2937003B,No,30,2001
MCP2937003B,Yes,30,2018
EJ7877000H,Yes,35,2007
EJ7877000H,No,35,2007
DD55220047,Yes,25,2017
MCP29370039,No,60,2014
MCP2973004M,Yes,35,2001
MCP29620042,No,0,2015
MCP29620042,Yes,0,2008
MCP25360024,Yes,30,2004
MCP2739002C,Yes,25,2008
MCP28250014,Yes,30,2014
MCP28250014,No,30,2013
MCP2612003H,Yes,5,2008
MCP26560044,No,50,2019
MCP26560044,Yes,50,2011
MCP3074003Q,No,35,2004
MCP3074003Q,Yes,35,2012
MCP27080050,Yes,35,2013
MCP27080050,No,35,2008
MCP27080050,No,35,2012
MCP3050003K,Yes,15,2010
MCP3050003K,No,15,2016
EJ78290062,Yes,35,2004
EJ78290062,No,35,2010
DD5630001K,No,30,2015
DD5630001K,Yes,25,2014
MCP2559003B,Yes,40,2002
MCP2559003B,No,40,2008
MCP2622001Z,Yes,35,0
MCP3134001W,Yes,30,2013
MCP23470027,Yes,40,2002
MCP23470027,No,40,2015
MCP1202003Y,No,35,2016
DD56110068,No,25,2011
DD56110068,Yes,25,2016
MCP23580066,Yes,55,2016
MCP23580066,No,55,2015
MCP1212001Q,Yes,40,2016
MCP1212001Q,Yes,40,2008
MCP2535001S,No,40,2001
MCP2535001S,Yes,45,2016
MCP1490000R,Yes,25,2016
MCP3123001C,Yes,40,2006
MCP2737003S,Yes,35,2019
MCP2402000G,Yes,35,1999
MCP2635005H,No,40,2001
MCP2635005H,Yes,30,2014
MCP29370037,Yes,55,2004
MCP29370037,No,55,2006
MCP29370038,No,35,2012
MCP29370038,Yes,35,2016
MCP1472001H,Yes,40,2015
DM84210024,Yes,5,2001
EJ7876000S,No,15,2013
EJ7876000S,Yes,15,2008
EJ78640021,No,35,2006
DD5633001T,No,30,2014
DD5633001T,Yes,30,2006
MCP3160001M,Yes,40,2010
MCP3160001M,No,40,2008
MCP9422001S,No,45,2000
MCP9422001S,Yes,45,2016
MCP20770033,No,15,2018
MCP20770033,Yes,15,2012
MCP3174000Z,No,40,2009
MCP3174000Z,Yes,40,2004
MCP2954006Z,Yes,5,0
MCP2756002X,Yes,10,2005
MCP3126001C,Yes,40,2003
MCP3126001C,No,40,2013
MCP30350028,Yes,35,0
MCP30350028,No,35,2013
MCP2330001X,Yes,40,2003
MCP2330001X,No,40,2016
DD5630001J,Yes,10,2008
MCP3040003Q,No,35,2000
MCP3040003Q,Yes,35,2001
DD5624002P,No,35,2002
DD5624002P,No,35,2008
DD5624002P,Yes,30,2016
MCP2880001P,No,35,2017
MCP2880001P,Yes,35,1992
MCP26560043,No,40,2013
MCP26560043,Yes,40,2009
MCP137800QY,Yes,30,2006
MCP3022002R,Yes,45,2015
MCP3022002R,No,0,2006
EJ7856006V,No,25,2019
EJ7856006V,Yes,25,0
MCP3126001B,Yes,35,1995
MCP3126001B,No,35,2018
EJ7856006T,Yes,25,2007
EJ7856006T,No,25,2017
DD56380001,No,45,2017
DD56380001,Yes,45,2002
MCP2765005L,Yes,5,2011
MCP08330013,Yes,45,2004
MCP08330013,No,45,2009
MCP9311002C,No,10,2009
MCP9311002C,Unknown,10,2007
DM8439002W,Yes,35,2012
DM8439002W,No,35,2016
MCP24870019,Yes,30,2012
MCP24870019,No,30,2018
MCP9386006X,No,35,2009
MCP9386006X,Yes,35,2013
MCP2357003P,No,35,2018
MCP2357003P,Yes,35,2007
MCP2952008N,No,35,2014
MCP23720021,No,25,2004
MCP22120040,Yes,25,2015
MCP23720021,Yes,25,2011
EJ7876000R,Yes,35,2011
EJ7876000R,No,35,2016
MCP003600B4,Yes,25,2018
MCP3145001J,No,35,2004
MCP3145001J,Yes,35,2008
MCP1151009M,Yes,30,2016
DD56110067,No,40,2012
DD56110067,Yes,40,2017
DD56280024,No,40,2011
DD56280024,Yes,40,2004
MCP91130051,Unknown,45,2019
MCP91130051,Unknown,45,2008
MCP3048005D,Yes,35,2011
MCP3048005D,No,35,2014
MCP9386006W,Yes,15,2017
MCP003600B3,Yes,40,2018
MCP2916002Z,No,35,2015
MCP2916002Z,Yes,35,2011
EJ78640020,No,35,2006
EJ78640020,Yes,35,1999
MCP23940036,Unknown,40,2013
MCP3030002G,No,20,2018
MCP3030002G,Yes,20,2000
MCP23940036,Unknown,40,2017
MCP29890018,Yes,25,2015
MCP29890018,No,25,2005
MCP25390013,Yes,40,1997
MCP25390013,No,40,2016
MCP3129000Z,Yes,40,2013
MCP3129000Z,No,35,2006
DM8458002V,Yes,35,2007
DM8458002V,No,35,2014
EJ7856006S,No,30,2010
EJ7856006S,Yes,30,2011
MCP3148001G,No,30,2014
MCP3148001G,Yes,30,2016
MCP24750040,No,40,2013
MCP24750040,Yes,40,2001
MCP24750040,No,40,2018
MCP24750040,No,40,2015
MCP2363001Q,Yes,35,2004
MCP2363001Q,No,35,2013
MCP3129000Y,No,40,2007
MCP3129000Y,No,40,2013
MCP3129000Y,Yes,40,2013
MCP3180000J,Yes,45,2016
MCP3180000J,No,45,2016
MCP2755001Y,No,30,2009
MCP2755001Y,Yes,30,2006
MCP28100017,No,35,2014
MCP28100017,Yes,35,2015
MCP2813006V,Yes,5,2013
MCP2987005C,Yes,40,2008
MCP2987005C,Yes,40,2016
MCP2987005C,No,40,2017
EJ7837003R,No,35,2015
EJ7837003R,Yes,35,2015
MCP3171000X,No,55,2006
MCP3171000X,No,55,2018
MCP3171000X,Yes,55,2004
MCP3171000X,No,55,2019
EJ7856006R,Yes,30,2004
EJ7856006R,No,30,2011
MCP1182002H,Yes,35,2002
MCP1182002H,No,35,2008
MCP1182002H,No,35,2012
MCP27530044,No,40,2003
MCP27530044,Yes,40,2015
DD5610005M,Yes,40,2001
MCP1174003M,No,25,2018
MCP1174003M,Yes,25,2012
MCP2726003L,No,25,2011
MCP2726003L,No,40,2001
MCP2726003L,Yes,40,2008
EJ78510040,Yes,30,2011
EJ78510040,No,30,2019
MCP14910015,Yes,35,2008
MCP14910015,No,35,2001
MCP2940003W,No,35,2014
MCP2940003W,Yes,35,1995
MCP30450026,Yes,15,2015
MCP3164001V,Yes,35,2005
MCP3164001V,No,35,2008
MCP2940003V,No,35,2016
MCP2940003V,Yes,35,2016
MCP2177003W,No,35,2012
MCP2177003W,Yes,35,2018
MCP158000BL,No,40,2007
MCP158000BL,Yes,40,2009
MCP158000BL,No,40,2018
MCP158000BL,No,40,2015
MCP2940003T,No,35,1993
MCP2940003T,Yes,35,1999
MCP2821001N,No,35,2005
MCP2821001N,Yes,45,2015
MCP2821001N,No,35,2018
DD5607002W,Yes,45,2007
DD5607002W,Yes,30,2010
MCP3104001L,Yes,40,2018
MCP3104001L,No,40,2005
MCP3017000W,No,35,2018
MCP3017000W,Yes,35,1998
DM84720008,Yes,25,2004
MCP26410018,Yes,40,1998
MCP2788001X,Yes,35,2005
MCP2788001X,No,35,2013
MCP93810023,Yes,15,2018
MCP2875003R,No,15,2011
MCP2875003R,Yes,15,2019
MCP3173000L,No,40,2010
MCP3173000L,Yes,40,2010
MCP30510030,No,35,2013
MCP30510030,Yes,35,2011
EJ7871001S,Yes,10,2017
EJ7871001S,Yes,5,2016
MCP2702001S,Yes,40,2008
MCP2702001S,No,40,2011
MCP2869003H,No,35,2009
MCP2869003H,No,35,2019
MCP2869003H,Yes,35,2017
MCP2869003H,No,35,2017
MCP28530067,Yes,40,2005
MCP28530067,No,40,2006
MCP23480053,Yes,35,2009
MCP23480053,No,35,2002
MCP3188000R,Yes,30,2008
MCP3188000R,No,30,2018
MCP3139001B,Yes,25,2001
MCP3139001B,No,25,2013
MCP3113001J,Yes,35,2005
MCP3073003N,Yes,45,2006
MCP3073003N,No,45,2015
MCP229800NS,Unknown,40,2013
MCP229800NS,Unknown,40,2011
MCP91130050,No,40,2018
MCP3034003J,Yes,35,2011
EJ7858003N,No,25,2008
MCP3086002N,No,35,2010
MCP3086002N,Yes,35,2002
MCP9301002V,No,30,2014
MCP3044003Q,No,50,2016
MCP3044003Q,Yes,50,1998
EJ78730016,Yes,30,2019
MCP2707001K,No,35,2011
MCP2707001K,Yes,35,2014
EJ7858003M,Yes,50,2016
MCP30060049,Yes,40,2018
DM84030009,No,0,2011
DM84030009,Yes,5,2008
MCP3005004L,Yes,35,1995
MCP3005004L,No,35,2011
MCP3065002V,Yes,25,2014
MCP3065002V,No,25,2002
MCP1436000V,No,35,2019
MCP1436000V,Yes,35,2000
MCP31540014,No,40,2011
MCP31540014,Yes,40,2008
MCP31540014,No,40,2014
MCP3048005C,No,30,2017
MCP3048005C,Yes,30,2003
MCP3173000K,Yes,25,2013
DD56200043,No,30,2015
DD56200043,Yes,40,1995
DD56200043,No,30,2018
EJ7875000H,Yes,35,2014
EJ7875000H,No,35,2014
MCP2954006Y,Yes,30,0
MCP2954006Y,No,30,2011
MCP3112002F,Unknown,25,2011
MCP3112002F,Unknown,25,2017
MCP27140016,No,35,2003
MCP27140016,Yes,35,2005
MCP3022002Q,Yes,25,2008
MCP3022002Q,No,45,2015
MCP3089002J,Yes,10,2014
MCP3089002J,Yes,10,2018
MCP3068002H,Yes,35,2003
MCP3068002H,No,35,2019
MCP3180000H,Yes,40,2013
MCP3180000H,No,40,2015
MCP29060027,Yes,30,2010
MCP29060027,No,30,2012
MCP137800QX,No,45,2010
MCP137800QX,No,45,2013
MCP137800QX,Yes,45,2008
MCP2198005N,Yes,25,2008
MCP2198005N,No,25,2005
DD56310025,Yes,25,2015
MCP27280065,Yes,0,2016
MCP3068002G,No,30,2018
MCP3068002G,No,30,1998
MCP3068002G,Yes,30,2013
MCP31210025,Yes,45,2007
MCP1436000T,No,35,2011
MCP1436000T,Yes,35,1999
MCP3020003Q,Yes,35,2014
MCP3020003Q,No,35,2018
MCP94120010,No,35,2011
MCP94120010,Yes,25,2008
MCP1202003X,No,30,2015
MCP1202003X,Yes,30,2018
MCP2372001Z,Yes,30,2019
MCP2372001Z,No,30,2008
MCP2940003S,Yes,35,2013
MCP2940003S,No,35,2000
EJ78660063,Yes,30,2018
MCP158000BK,No,10,2014
MCP158000BK,Yes,10,2014
MCP1436000S,Yes,35,2009
MCP1309002L,Yes,40,2011
MCP2116009Q,Yes,40,2004
MCP2116009Q,No,40,2012
MCP2116009Q,No,40,2003
MCP2116009Q,No,40,2004
DD5604002Y,Yes,35,2012
DD5604002Y,No,40,2016
MCP1123002P,Yes,10,2008
MCP31650018,Yes,25,2007
MCP3010003W,Yes,35,2008
MCP3010003W,No,35,2012
MCP3191000T,No,10,2011
MCP3190000Y,Yes,50,2015
MCP3191000T,Yes,40,2011
MCP3190000Y,No,50,2014
MCP1575008X,No,35,2009
MCP23530074,Yes,25,2001
MCP23530074,Yes,25,2011
MCP1575008X,Yes,35,2009
MCP3141000Y,Yes,55,2014
EJ7837003Q,No,25,2015
EJ7837003Q,Yes,25,2015
MCP20480023,Yes,15,2006
MCP26560042,No,15,2003
MCP26560042,Yes,15,2005
MCP2708004Y,No,25,2013
MCP30930022,No,0,2016
MCP30930022,Yes,0,2013
MCP25150020,Yes,0,2018
MCP3106001N,Unknown,30,2012
MCP3106001N,Unknown,30,2019
MCP2411003F,Yes,0,0
MCP3125001J,Yes,25,2012
MCP3125001J,No,25,2005
MCP2603002T,No,40,2003
MCP2603002T,Yes,40,2010
MCP3136001Z,No,30,2014
MCP3136001Z,Yes,30,1991
EJ78730015,No,35,1999
EJ78730015,Yes,35,2014
MCP23470026,Yes,30,2013
MCP23470026,No,35,2019
MCP29680030,No,25,2015
MCP29680030,Yes,25,2017
MCP31690014,Unknown,35,2017
MCP31690014,Unknown,35,2017
MCP3090002J,Yes,25,2014
MCP229800NQ,Yes,35,2006
MCP15530024,Yes,45,2004
MCP31430018,Yes,35,2008
MCP31430018,No,35,2018
DD56350010,Yes,25,2008
MCP003600B2,Yes,30,1997
MCP2436007K,No,25,2015
MCP2436007K,Yes,25,2004
MCP2639007B,Yes,25,2016
MCP3191000S,Yes,25,2006
DD5527002B,Yes,5,2016
DD5527002B,No,30,2003
MCP26250007,Yes,35,2006
MCP26250007,Yes,35,2016
MCP30260040,No,35,1993
MCP30260040,Yes,35,2018
MCP1575008W,No,45,2014
MCP1575008W,Yes,45,2019
MCP2116009P,No,25,2005
MCP2116009P,Yes,35,1999
MCP1465004G,Yes,40,1998
MCP1465004G,No,40,2018
MCP3191000R,Yes,25,2009
MCP23530073,Yes,25,2015
MCP23530073,No,25,2013
MCP1382004Z,No,35,2018
MCP1382004Z,Yes,35,2012
MCP1382004Z,No,40,2013
MCP2594005D,Yes,35,2015
MCP2594005D,No,40,2014
MCP31330017,No,40,2016
MCP31330017,No,40,2010
MCP3003003V,No,30,2014
MCP3003003V,Yes,30,2009
MCP209400F3,No,35,2017
MCP209400F3,Yes,35,2005
MCP3037002R,Yes,40,2007
MCP3037002R,No,40,2010
MCP2121001T,Yes,50,2015
MCP3003003T,Yes,5,2000
MCP2534002Z,No,35,2010
MCP2534002Z,Yes,25,2011
MCP2786002N,No,35,2011
MCP2786002N,Yes,35,2007
MCP2412000X,No,25,2011
MCP2412000X,Yes,15,2013
MCP26780027,Yes,45,2003
MCP2930001K,Yes,30,2012
MCP2930001K,No,30,2018
MCP3125001H,Yes,30,2012
MCP3125001H,No,30,2018
MCP2330001W,Yes,20,2004
MCP31320016,Yes,25,2010
MCP3040003P,Yes,35,2017
MCP2249000V,Yes,25,2015
MCP3050003J,Yes,35,2011
MCP3050003J,No,35,2012
DD5630001H,Yes,40,1997
DD5630001H,No,40,2011
MCP2411003D,Yes,30,2003
MCP30930021,No,35,2015
MCP30930021,Yes,35,2012
MCP3187000K,No,30,1999
MCP3187000K,Yes,30,2006
MCP2777005B,Yes,25,2016
MCP2777005B,No,25,1999
MCP2439000Y,Yes,40,2004
MCP2439000Y,No,40,2006
MCP31530017,Yes,15,2002
MCP31530017,No,15,2017
MCP2712003N,Yes,30,2004
MCP2712003N,No,30,2009
MCP1099002L,Yes,25,1985
MCP2723004D,No,50,2019
MCP2723004D,Yes,50,1999
EJ7876000P,Yes,15,2003
EJ7876000P,No,15,2018
MCP2712003M,No,30,2006
MCP2712003M,Yes,35,2001
MCP3109002K,No,0,2017
MCP3109002K,Yes,0,2015
MCP29620040,Yes,35,2004
MCP29620040,No,35,2012
MCP2534002Y,No,30,2010
MCP2534002Y,Yes,30,2006
MCP3008001Z,No,30,2008
MCP3008001Z,Unknown,30,2016
MCP3008001Z,Unknown,30,2016
EJ7876000Q,No,15,2011
EJ7876000Q,Yes,15,0
MCP25360023,No,35,2007
MCP25360023,Yes,35,2014
MCP3075002C,Yes,40,0
MCP3075002C,No,40,2003
MCP31220025,No,35,2018
MCP31220025,Yes,35,2017
MCP3085001K,Yes,45,2008
MCP3085001K,No,45,2018
MCP3184000P,No,35,2016
MCP3184000P,Yes,35,2017
MCP3184000Q,Yes,5,2010
MCP3184000Q,No,0,2015
DD5633001S,Yes,10,2007
MCP3022002P,Yes,40,2008
MCP28710067,Yes,35,2002
MCP28710067,No,35,2017
MCP3176000K,No,35,2015
MCP3176000K,Yes,35,2016
MCP3170000W,No,0,2017
MCP3170000W,Yes,0,2008
MCP2767006G,Yes,0,2002
MCP28710066,No,35,2009
MCP28710066,Yes,35,2017
MCP1202003V,No,35,2017
MCP1202003V,Yes,35,2004
DD56200042,Yes,30,2003
DD56200042,No,30,2003
MCP31430016,No,45,2006
MCP31430016,Yes,45,2014
MCP31180021,No,30,2017
MCP31180021,Yes,40,2015
EJ78460042,No,30,2010
EJ78460042,Yes,30,2017
MCP3130001H,Yes,40,2008
MCP3130001H,No,40,2016
MCP2436007J,No,35,2007
MCP2436007J,Yes,35,2004
MCP2699001C,No,35,2017
MCP2699001C,Yes,30,2017
MCP26780026,Yes,40,2013
MCP2385001S,No,50,2006
MCP2385001S,Yes,50,2007
MCP3036001K,No,45,2010
MCP3036001K,Yes,45,2006
EJ7809001G,Yes,25,0
MCP2931003J,No,40,2011
MCP2931003J,Yes,40,2005
MCP2450002M,Yes,5,2005
MCP3000002P,Yes,30,2017
MCP3079002D,No,35,2014
MCP3079002D,Yes,35,2007
MCP28610043,No,30,2011
MCP28610043,Yes,30,2007
MCP2738003C,Yes,50,2010
MCP2738003C,No,50,2013
MCP2231004Y,Yes,35,2007
MCP2231004Y,No,35,1998
MCP2686003C,Yes,35,2011
MCP2686003C,No,35,2003
MCP3073003M,Yes,35,2016
MCP2844003R,Yes,25,2016
MCP2844003R,No,25,2019
MCP28680035,Yes,25,2018
DM8338001P,Yes,35,2013
DM8338001P,No,35,2013
MCP137800QV,Yes,35,2008
MCP137800QV,No,35,2007
MCP3188000Q,Yes,25,2006
MCP003600B1,No,55,2015
MCP003600B1,Yes,55,2018
DD56310024,Yes,40,2007
DD56310024,No,40,2016
MCP31390019,Unknown,25,2013
MCP2987005B,No,40,2016
MCP2987005B,No,40,2013
MCP2987005B,No,40,2010
MCP2987005B,Yes,40,2007
MCP1366009D,No,40,2017
MCP1366009D,Yes,40,2011
MCP9311002B,Yes,15,2010
MCP3109002J,No,35,2003
MCP3109002J,No,35,2010
MCP2952008M,No,30,2014
MCP2952008M,Yes,30,2018
MCP2916002Y,Yes,35,2018
MCP2916002Y,No,15,2009
MCP2916002Y,No,35,2015
MCP31530016,No,40,2003
MCP31530016,No,40,2005
MCP31530016,Yes,40,1998
MCP2820003K,Yes,30,2018
DM83880031,Yes,25,2015
DM83880031,No,25,2001
MCP2726003K,Yes,30,2004
MCP2726003K,No,35,2016
MCP9130007J,No,30,2015
MCP9130007J,Yes,25,2014
MCP3048005B,Yes,5,1998
MCP2730001D,Yes,10,2006
MCP242500F2,No,50,2012
MCP242500F2,Yes,50,2013
MCP93110029,No,35,2010
MCP93110029,Yes,35,2015
MCP2357003N,Yes,35,2015
MCP2357003N,No,35,2016
MCP2707001J,Yes,35,2003
MCP2707001J,Yes,35,2013
EJ7833005C,Yes,5,2015
EJ7833005B,Yes,35,0
EJ7833005B,No,35,2003
MCP2513001C,No,40,2006
MCP2513001C,Yes,40,2012
MCP2513001C,No,40,2010
MCP2513001C,No,40,2014
MCP2513001C,No,40,2007
MCP2513001C,No,40,2014
MCP2513001C,No,40,2018
MCP3008001Y,Yes,25,0
MCP2198005M,Yes,25,1997
MCP2198005M,No,35,2010
MCP27430010,Yes,35,2014
MCP30970017,No,45,2014
MCP27430010,No,35,2019
MCP30970017,Yes,45,2018
EJ78730012,Yes,35,2017
EJ78730012,No,35,2010
MCP2982002M,Yes,25,2018
MCP29870059,Yes,45,2006
MCP29870059,No,45,2011
MCP31210023,Yes,35,2003
MCP31210023,No,35,2003
MCP25970025,No,35,2008
MCP25970025,Yes,35,2019
MCP3029002V,Yes,40,2013
MCP3029002V,No,40,2013
MCP2291003P,Yes,30,2014
MCP2291003P,No,30,2012
MCP20470039,Yes,35,2013
EJ7826004K,Yes,40,2015
MCP003600B0,Yes,40,2014
MCP30060048,Yes,15,2013
MCP25590039,Yes,15,2014
MCP3188000P,Yes,15,2018
MCP3188000P,No,15,2001
MCP1436000R,No,40,2019
MCP1436000R,Yes,40,2012
MCP9130007H,Yes,35,2013
MCP9130007H,No,35,2013
MCP26670063,Yes,35,2019
MCP3164001S,Yes,35,2011
MCP3164001S,No,35,2006
MCP3164001S,No,35,2008
MCP2726003J,Yes,30,2008
MCP2726003J,No,30,2015
MCP30060047,No,35,2017
MCP30060047,No,35,2009
MCP30060047,Yes,35,1999
MCP3162002J,Yes,25,2016
MCP20870032,Yes,30,2001
DM8439002V,Yes,25,2006
DM8439002V,No,25,2007
MCP1453007F,No,30,2002
MCP1453007F,Yes,30,2015
MCP2450002L,Yes,5,2009
MCP1170002C,No,55,2017
MCP1170002C,Yes,55,2009
MCP1170002C,No,55,2011
MCP2598002W,Yes,25,2013
MCP3065002T,Yes,40,2016
MCP1564003Q,No,40,2011
MCP1564003Q,Yes,40,1996
MCP2991003Q,Yes,25,2011
MCP158000BJ,Yes,25,2015
MCP242500F1,Yes,25,2009
MCP91340018,Yes,35,2012
MCP91340018,No,35,1993
MCP91340018,No,35,2010
DD5614004H,Yes,55,2001
MCP3078002T,Yes,25,2017
MCP29210032,No,45,2005
MCP29210032,Yes,45,2009
MCP3089002H,Yes,15,2007
MCP229800NN,Yes,40,2015
MCP229800NN,No,40,2009
EJ7837003P,No,50,2007
EJ7837003P,Yes,50,2015
MCP3171000W,No,5,2019
MCP3171000W,Yes,5,0
MCP1334007Z,No,10,2012
DD55270029,No,40,2015
MCP1334007Z,Yes,10,2003
MCP3164001R,Yes,5,2017
MCP3164001R,No,5,2019
MCP3099001M,Yes,15,2015
MCP30480058,Yes,25,1997
MCP30480058,No,25,2005
MCP23530072,No,55,2017
MCP23530072,Yes,55,2012
MCP10640095,Yes,40,2018
MCP10640095,No,40,2018
MCP1152000R,Yes,25,2018
MCP3034003H,No,35,2017
MCP3034003H,Yes,35,2018
MCP3119001K,No,35,2002
MCP3119001K,Yes,35,2001
MCP1123002N,No,40,2014
MCP1123002N,Yes,40,2016
MCP2969006J,Yes,40,2008
MCP2969006J,No,40,2005
MCP1453007D,No,35,2009
MCP1453007D,Yes,35,2019
MCP102200CK,Yes,40,2016
MCP102200CK,No,40,0
MCP102200CK,No,40,1997
MCP102200CJ,Yes,40,2005
MCP3182000H,Yes,30,2018
MCP3061001C,Yes,35,2004
MCP3029002T,No,45,2009
MCP3029002T,Yes,45,2012
MCP2720003R,Yes,5,2007
MCP3171000V,Yes,5,2003
MCP30960024,Yes,40,2014
MCP30960024,No,40,2011
MCP3148001F,No,35,2016
MCP3148001F,No,35,2010
MCP3148001F,No,35,2015
MCP3148001F,Yes,35,2018
MCP27770058,Yes,25,2008
MCP20870030,Yes,15,2019
MCP20870031,Yes,15,0
DD5595007J,No,40,2017
DD5595007J,Yes,40,2007
